,시점_위도,시점_경도,종점_위도,종점_경도,길이,시작점_고도,종료점_고도,고도의_차이,경사각
0,37.5899259224481,126.993697413249,37.5911597878256,126.99292883474,160,62.08000564575195,93.83267974853516,31.752674102783203,11.724226647768818
1,37.6115743281972,126.97860912062,37.6152467098057,126.976916925012,150,149.5203704833984,187.8926391601562,38.372268676757784,5.044559044910811
2,37.6100641847087,126.975395459262,37.6126670190348,126.975237736631,210,118.210578918457,158.2078094482422,39.997230529785185,7.859327073218745
3,37.6062399217122,126.957832848779,37.6045599278703,126.957060994699,190,92.29252624511719,127.5000534057617,35.20752716064452,10.043141322963777
4,37.5834416442373,126.985408757535,37.5831855099227,126.988884857967,355,48.98150634765625,42.39490509033203,6.586601257324219,1.2265626728625276
5,37.5763258807211,127.006240762469,37.5772231140518,127.007399956737,175,35.65808486938477,59.46995162963867,23.8118667602539,9.467531923640276
6,37.6000235720178,126.957422235637,37.6010324031386,126.956657274744,130,57.42071914672852,79.2295150756836,21.80879592895507,9.461556530256175
7,37.6080293812741,126.972114171475,37.611074226103,126.97043376426,130,103.8609161376953,167.0561218261719,63.195205688476605,9.704954260255702
8,37.5911310619203,126.993196733417,37.5907244725472,126.992199582397,80,91.126220703125,104.7586059570312,13.632385253906193,7.855389750784038
9,37.5796115467616,127.015785652155,37.5801366168773,127.017280257699,200,39.47991180419922,56.53482818603516,17.054916381835945,6.751263837332579
10,37.6010324031386,126.956657274744,37.6045150589039,126.957061926471,550,79.2295150756836,127.9699325561523,48.74041748046871,7.143736119138223
11,37.6077545125345,126.971457409234,37.608877397789,126.971013929455,200,105.8686141967773,143.0448303222656,37.176216125488295,15.863100441816101
12,37.6078965614435,126.962331672772,37.6050289696652,126.965229787087,530,146.0325775146484,82.42235565185547,63.61022186279294,8.851412895640365
13,37.6081571945018,126.961978304696,37.6088521717336,126.962396991545,100,151.8068237304688,175.2858123779297,23.47898864746088,15.333527153634677
14,37.5480300702135,126.965185666987,37.5484092538349,126.965027515487,120,66.00398254394531,65.30827331542969,0.695709228515625,0.8975238646929679
15,37.546841806299,126.963603219593,37.5473049014312,126.963543924367,300,56.95152282714844,62.01811981201172,5.066596984863281,5.590825215202967
16,37.5283743260401,127.005937416925,37.5289897960706,127.003869953309,200,16.42526435852051,48.79951858520508,32.37425422668457,9.438879850826375
17,37.5355547558041,127.011073220662,37.5356019057174,127.010775094877,180,35.54317092895508,33.79009246826172,1.7530784606933594,3.741894138945617
18,37.5434592898007,126.983958548185,37.541676650345,126.984546191803,230,86.72667694091797,64.14156341552734,22.585113525390625,6.290657651886152
19,37.5433914870279,126.990083310522,37.544240450762,126.990597720289,324,67.06868743896484,81.59735107421875,14.528663635253906,7.897959003062933
20,37.5378106641032,127.012159762543,37.5373545438076,127.011601199778,225,54.61517333984375,47.65884399414062,6.956329345703132,5.6197067114019985
21,37.5457516455738,126.973212393906,37.546472078087,126.973184525124,90,19.94414710998535,26.42303085327148,6.478883743286129,4.6216496767228765
22,37.5466331314035,126.966962136966,37.5472233912175,126.967017325312,70,43.85683441162109,54.22019195556641,10.363357543945327,8.948565793027436
23,37.5497977040106,127.030020362088,37.55192448574,127.030468907837,350,36.10050964355469,73.65049743652344,37.54998779296875,8.900685975294598
24,37.557200803801,127.030175893046,37.5555734632564,127.032070893723,240,21.74753761291504,37.8736686706543,16.126131057739258,3.7465070250200663
25,37.5563934779062,127.033311867144,37.5560488428796,127.033956693859,80,25.75473403930664,23.73685836791992,2.0178756713867223,1.6860261571177557
26,37.5857401586633,126.926191726203,37.5856054779605,126.927675933535,155,68.78469848632812,98.78654479980469,30.001846313476562,12.839227435406494
27,37.5867691552474,126.934221910291,37.5862718203638,126.932332366623,300,51.19012451171875,102.8646469116211,51.674522399902344,16.411929497828112
28,37.5473557182361,126.959403107996,37.547132626274,126.96072132575,260,41.78532791137695,54.95820236206055,13.172874450683594,6.32550033303485
29,37.5544795351034,126.930252504878,37.553263664264,126.929839435682,135,24.04332542419434,42.6110725402832,18.567747116088864,7.553984804055477
30,37.5545466515131,126.944316890039,37.5542612773167,126.94560940832,130,54.72400283813477,37.97814178466797,16.745861053466804,8.05860887943313
31,37.5543686640881,126.938256337764,37.5537661440378,126.939429850191,160,24.96958541870117,43.95560455322266,18.986019134521495,8.757373490432926
